Actual Units Sold,Predicted Units Sold
138,123.97
105,118.69
70,61.94
105,182.94
76,71.06
206,193.69
87,65.71
53,262.41
129,68.48
55,54.78
9,44.13
128,127.62
327,236.87
41,59.72
71,38.5
78,58.87
470,228.41
137,238.98
93,193.77
179,219.83
273,243.22
49,93.18
52,30.85
258,193.41
82,70.77
59,88.86
211,120.92
11,25.34
8,38.28
120,222.56
209,146.96
69,145.11
326,195.25
321,192.16
59,110.63
428,209.72
125,125.95
130,98.75
268,157.54
80,81.82
164,107.61
342,209.23
33,86.59
130,181.87
99,51.49
78,81.37
94,113.92
151,126.82
242,144.5
14,141.81
95,116.81
75,183.51
113,157.25
1,25.51
20,82.31
306,158.89
92,48.1
81,176.76
74,136.52
76,44.92
224,223.96
185,203.88
138,95.02
91,84.73
269,223.89
42,112.28
63,236.88
59,96.6
152,165.05
13,38.57
83,229.88
67,56.99
156,106.26
41,201.38
160,246.3
223,251.16
250,135.53
33,31.79
33,31.25
41,116.81
100,105.36
410,251.37
75,124.4
67,114.04
190,155.95
76,82.49
87,107.67
54,55.98
56,51.66
197,235.03
136,126.64
188,253.29
30,72.45
47,274.95
88,108.31
175,154.57
99,74.41
79,117.24
69,76.46
132,224.67
79,147.56
285,175.83
21,73.31
33,114.63
117,86.22
25,117.14
28,62.37
66,99.38
422,194.1
142,166.02
295,208.05
370,192.46
337,195.48
25,179.8
258,122.01
173,185.51
283,154.12
189,193.55
35,184.06
151,133.23
306,224.72
40,126.92
184,130.19
118,80.96
59,72.52
82,189.24
103,156.91
117,234.22
314,204.35
267,210.48
61,49.68
120,110.59
68,138.29
222,169.42
263,165.16
382,191.08
67,154.03
98,142.23
25,22.08
12,31.44
101,120.42
220,182.28
456,271.28
64,86.35
243,169.83
77,191.48
38,28.25
120,198.02
48,79.32
88,67.23
420,242.01
134,69.45
34,47.47
333,190.65
86,176.1
127,249.28
184,200.73
108,74.89
144,227.51
217,219.38
235,235.03
61,139.93
63,30.08
76,100.69
69,193.71
83,127.52
97,180.33
11,202.58
12,31.0
394,280.55
48,104.48
58,66.53
358,185.6
198,137.65
107,240.56
52,191.49
16,59.75
254,143.83
473,261.57
233,173.2
200,187.96
52,103.03
23,117.79
0,226.94
50,55.16
175,98.4
157,169.59
62,129.13
241,140.98
21,25.04
85,59.63
124,137.5
59,159.51
133,81.57
